iter	Logloss
0	0.6526834331
1	0.6208204987
2	0.586109757
3	0.5579933307
4	0.5356927184
5	0.510328072
6	0.4869218841
7	0.4653371784
8	0.4454018339
9	0.4295771686
10	0.4148652849
11	0.4023714577
12	0.3864938516
13	0.3723507146
14	0.3563783786
15	0.3394010693
16	0.3279639547
17	0.3177259851
18	0.30701652
19	0.2995161001
20	0.2927234849
21	0.2835564437
22	0.2767941725
23	0.2717261117
24	0.26731472
25	0.2630322475
26	0.2585209868
27	0.2541100792
28	0.2494627282
29	0.2451147187
30	0.2414099165
31	0.2390291588
32	0.2369831778
33	0.234046083
34	0.2319497314
35	0.2291584194
36	0.2262183943
37	0.2249024413
38	0.2221221958
39	0.2195595241
40	0.2172444925
41	0.2150056589
42	0.2127671708
43	0.2111215907
44	0.2081925199
45	0.2062701931
46	0.2048460708
47	0.2024058462
48	0.199401652
49	0.1980311127
50	0.1964673235
51	0.1937892526
52	0.1926323454
53	0.1908743604
54	0.1898114962
55	0.1887847589
56	0.1880770887
57	0.1869799581
58	0.18541559
59	0.1839593314
60	0.1832220073
61	0.1818367976
62	0.1811842984
63	0.1797417477
64	0.1791552689
65	0.178114425
66	0.1770659083
67	0.1759644395
68	0.1757249258
69	0.1737070994
70	0.172605697
71	0.1714343588
72	0.1705207017
73	0.1701754155
74	0.1690310925
75	0.168020173
76	0.1673207014
77	0.1664418616
78	0.1656494094
79	0.1641930009
80	0.1631012554
81	0.1623766257
82	0.1619602771
83	0.1603791438
84	0.1602647318
85	0.1589216029
86	0.1586261342
87	0.1575476961
88	0.1567710905
89	0.1560547358
90	0.1553683041
91	0.154497314
92	0.1537730441
93	0.1529374498
94	0.1526011259
95	0.1521135702
96	0.1511651753
97	0.1508487666
98	0.1500791885
99	0.1497036281
100	0.1488693733
101	0.1485054459
102	0.1484070431
103	0.148036352
104	0.1476580867
105	0.1474392729
106	0.1468691785
107	0.1465540576
108	0.1463529692
109	0.145698664
110	0.1454086698
111	0.144954377
112	0.1445630507
113	0.1445540011
114	0.1438408572
115	0.1435368528
116	0.1425957426
117	0.1419017105
118	0.1415212038
119	0.1407951462
120	0.1405825565
121	0.14054715
122	0.140050408
123	0.139838621
124	0.139329282
125	0.1389596081
126	0.1388394047
127	0.138814683
128	0.1385524623
129	0.1380668857
130	0.1378992391
131	0.1376782028
132	0.1376664925
133	0.1374531168
134	0.1370645012
135	0.1368182812
136	0.1360210993
137	0.1357056168
138	0.1353278804
139	0.1348383051
140	0.1347765052
141	0.1345136849
142	0.1339515356
143	0.133092993
144	0.1328393628
145	0.1321609387
146	0.1312189196
147	0.1307058303
148	0.130377357
149	0.1300948063
150	0.1297655927
151	0.1296827676
152	0.1293568063
153	0.1290400504
154	0.1286557636
155	0.1283447806
156	0.1278335394
157	0.1277658342
158	0.1277409009
159	0.1274208774
160	0.126743132
161	0.1264635903
162	0.1259461198
163	0.1255913311
164	0.1252622375
165	0.124744986
166	0.1245370832
167	0.1243074513
168	0.1240158485
169	0.1238400912
170	0.1238368976
171	0.1234563571
172	0.1232965352
173	0.1226658633
174	0.1222349813
175	0.1214896449
176	0.1210867483
177	0.1208783968
178	0.1203304115
179	0.1197841907
180	0.1193856711
181	0.119128084
182	0.1190473675
183	0.1187470774
184	0.1180416725
185	0.1178049315
186	0.1168531045
187	0.116348869
188	0.1159232765
189	0.1159044513
190	0.1158999039
191	0.1154502093
192	0.1148642478
193	0.1144838335
194	0.1144053262
195	0.1139576444
196	0.1139282151
197	0.1136140503
198	0.113558247
199	0.1134438824
200	0.113131828
201	0.112859563
202	0.1128259474
203	0.1125792492
204	0.112312471
205	0.1120225053
206	0.1117030617
207	0.1116600056
208	0.1112853642
209	0.1110155638
210	0.1104576044
211	0.1104519945
212	0.1099987169
213	0.109435872
214	0.1093667803
215	0.1091958005
216	0.1090882753
217	0.1090882476
218	0.1090657805
219	0.1084490612
220	0.1082931282
221	0.1081977711
222	0.1080972996
223	0.1077294576
224	0.1074951873
225	0.1072011994
226	0.1064945232
227	0.106451385
228	0.1061374757
229	0.105674086
230	0.1055759547
231	0.1052031577
232	0.1050249488
233	0.105008116
234	0.104721662
235	0.1045518037
236	0.1040384189
237	0.1040067844
238	0.103881139
239	0.1033066247
240	0.1028745108
241	0.1027065613
242	0.1026435524
243	0.1022683436
244	0.1021253264
245	0.1019589542
246	0.1018923351
247	0.1018704246
248	0.1014838773
249	0.1014465852
250	0.1013793998
251	0.1012679993
252	0.1010123552
253	0.1009060957
254	0.1008796525
255	0.1008599612
256	0.1005715862
257	0.1005501885
258	0.1004023308
259	0.1001562059
260	0.09992207834
261	0.09956448294
262	0.09952815385
263	0.09951399733
264	0.09944946089
265	0.09906184463
266	0.09875813515
267	0.09868753374
268	0.09857887887
269	0.09847884503
270	0.09809880045
271	0.09785185126
272	0.0978198774
273	0.09780423834
274	0.09778485782
275	0.09713625894
276	0.09692900107
277	0.09668838989
278	0.09642572097
279	0.09612623897
280	0.09605443884
281	0.09602920259
282	0.09559847198
283	0.09554935165
284	0.09511953548
285	0.09483147517
286	0.0948012876
287	0.09461490294
288	0.09420065803
289	0.09419129401
290	0.09396631347
291	0.09351558128
292	0.09350202964
293	0.09334260167
294	0.09307292797
295	0.09305243584
296	0.09305084704
297	0.09291871134
298	0.09263163312
299	0.09251002202
300	0.09236928736
301	0.09236785874
302	0.0921349391
303	0.09197716528
304	0.09196888386
305	0.09195248344
306	0.09169127407
307	0.0914622809
308	0.09134034693
309	0.09133675927
310	0.09127027422
311	0.09105834679
312	0.09093282925
313	0.09087887987
314	0.09055940179
315	0.09010545496
316	0.09009328531
317	0.08978786201
318	0.08943789418
319	0.08926002791
320	0.08923339396
321	0.0891863333
322	0.08915248407
323	0.08869402764
324	0.0886451701
325	0.08826798073
326	0.08798116674
327	0.08768682253
328	0.0874126689
329	0.08723943562
330	0.0869372609
331	0.08692004065
332	0.08660074407
333	0.08641237575
334	0.08601647185
335	0.08593203948
336	0.08580605119
337	0.08559484565
338	0.08538071676
339	0.08517856724
340	0.08490371532
341	0.08488216984
342	0.08469815156
343	0.08465868602
344	0.08452837485
345	0.08448448972
346	0.08448122631
347	0.0843981765
348	0.08407154877
349	0.08406849763
350	0.08402033188
351	0.08399135678
352	0.0838147023
353	0.08352511903
354	0.08340479792
355	0.08322564709
356	0.08303757008
357	0.0827219427
358	0.08238159933
359	0.08221990853
360	0.08212549497
361	0.0820477939
362	0.08173833802
363	0.0816698652
364	0.08150987845
365	0.08102372736
366	0.08098270869
367	0.08089323546
368	0.0806797994
369	0.08051721476
370	0.08037461594
371	0.08026880185
372	0.08012009505
373	0.08002025171
374	0.07989002605
375	0.07981798044
376	0.07980279349
377	0.07979995969
378	0.07968227457
379	0.07956171466
380	0.07940382115
381	0.07931311038
382	0.07891921107
383	0.07881052517
384	0.07861059087
385	0.07852303639
386	0.07845445679
387	0.07844163148
388	0.07835256106
389	0.07817498819
390	0.07804157794
391	0.07797076515
392	0.07795308452
393	0.07788334906
394	0.07780687643
395	0.07762468963
396	0.0774775228
397	0.07728327731
398	0.07704138155
399	0.07695583624
400	0.07676787242
401	0.07655606309
402	0.07651328822
403	0.07641873232
404	0.07634128941
405	0.07619336614
406	0.07617458704
407	0.07612536627
408	0.07611402904
409	0.07595392617
410	0.07569979821
411	0.07548778554
412	0.07547969017
413	0.07527468415
414	0.07510682223
415	0.07494262489
416	0.0747969168
417	0.07464161503
418	0.07430283341
419	0.07418529534
420	0.07417428742
421	0.07393089965
422	0.07392518497
423	0.07385681518
424	0.07360673444
425	0.07356373343
426	0.07354805934
427	0.07349677871
428	0.07321704545
429	0.07304942397
430	0.07304568526
431	0.0727559545
432	0.07269077092
433	0.07249041614
434	0.07229645736
435	0.07208139534
436	0.0720321333
437	0.07179083072
438	0.07178634155
439	0.07173232723
440	0.071642901
441	0.07151730261
442	0.07151313116
443	0.07138685803
444	0.07133267298
445	0.07119345178
446	0.07090401677
447	0.07086424707
448	0.07074402267
449	0.07070774761
450	0.07070188065
451	0.07038806214
452	0.07018783496
453	0.07008001032
454	0.0700673616
455	0.06993970135
456	0.06985832895
457	0.06981379868
458	0.06961510934
459	0.06950292816
460	0.06934523618
461	0.06929164816
462	0.06921087784
463	0.06911569971
464	0.06868785145
465	0.06860677456
466	0.06858633213
467	0.06817068405
468	0.0680758077
469	0.06786492217
470	0.06785160788
471	0.06743284476
472	0.06740642169
473	0.06710568442
474	0.06703064388
475	0.06693787116
476	0.06686236371
477	0.06686004471
478	0.06683951716
479	0.06667049026
480	0.06661905588
481	0.06651348085
482	0.0664713108
483	0.06643620682
484	0.06616074211
485	0.06593033054
486	0.06591009326
487	0.06588643656
488	0.06557280148
489	0.06538353535
490	0.0653007925
491	0.06529602902
492	0.06513292631
493	0.06491365976
494	0.06490992795
495	0.06489061292
496	0.06477629411
497	0.06469401595
498	0.06450232819
499	0.06444474527
500	0.06434851822
501	0.06398168252
502	0.06386199133
503	0.06371377991
504	0.06350348309
505	0.06342201219
506	0.06336830532
507	0.06325077191
508	0.06309420345
509	0.06296669251
510	0.06281228328
511	0.06267134442
512	0.06234635915
513	0.0623139251
514	0.06220594889
515	0.06220355256
516	0.06214388214
517	0.06198144543
518	0.06187461892
519	0.06151993454
520	0.0615142694
521	0.06146853406
522	0.06146169534
523	0.06145448614
524	0.0614267672
525	0.06119456183
526	0.06098393024
527	0.06092876189
528	0.06091827935
529	0.06067680116
530	0.06052601618
531	0.06039645397
532	0.06032807324
533	0.0603176058
534	0.06017952203
535	0.05986424125
536	0.05979957418
537	0.05976232659
538	0.05967699734
539	0.05966170852
540	0.05944119608
541	0.05923956257
542	0.05915157033
543	0.05909767292
544	0.05890788531
545	0.05884291931
546	0.05874826339
547	0.05860375358
548	0.05850017506
549	0.05834047086
550	0.05830864238
551	0.05824105718
552	0.05817833069
553	0.05792433464
554	0.05791709286
555	0.0579126946
556	0.05781477932
557	0.0577914719
558	0.05766792117
559	0.05766470926
560	0.05765640507
561	0.05765099878
562	0.05754014693
563	0.05749955929
564	0.05721892421
565	0.05713347219
566	0.05705720494
567	0.0570506642
568	0.05701136535
569	0.05690632298
570	0.05680953499
571	0.0567674043
572	0.05673045378
573	0.05665139997
574	0.05650914406
575	0.05649990143
576	0.05639844333
577	0.05634141272
578	0.05634139414
579	0.05628966796
580	0.05601262327
581	0.0557670362
582	0.05576197832
583	0.05556993237
584	0.05534324225
585	0.05533901116
586	0.05526004393
587	0.0552573552
588	0.05512100167
589	0.05511780024
590	0.0550244441
591	0.05498331045
592	0.05494972934
593	0.05494311016
594	0.05490819125
595	0.05488054595
596	0.05477337909
597	0.05472652798
598	0.05448254061
599	0.05435420149
600	0.05417779025
601	0.05410066529
602	0.05405421622
603	0.0539541811
604	0.05394486216
605	0.05393966711
606	0.05372687158
607	0.05366021192
608	0.05363100319
609	0.05354269468
610	0.05343490814
611	0.0534194793
612	0.05328466524
613	0.05326472543
614	0.05317328856
615	0.05314649755
616	0.05309199191
617	0.05289700755
618	0.05286665014
619	0.05270469881
620	0.05256410407
621	0.05255187453
622	0.05252334502
623	0.05244427782
624	0.05233888691
625	0.05233231501
626	0.05230551819
627	0.05217076992
628	0.05205739424
629	0.05204520802
630	0.05195052254
631	0.0519454695
632	0.05192530297
633	0.05181681375
634	0.05179992103
635	0.05149806216
636	0.05146580339
637	0.05137607249
638	0.05131605761
639	0.05127613314
640	0.05114476075
641	0.05107979865
642	0.05102084898
643	0.05099229889
644	0.05092606908
645	0.05091546913
646	0.05085704223
647	0.05085339737
648	0.05065184803
649	0.05054210392
650	0.05041935924
651	0.05041760803
652	0.05035761054
653	0.05027860737
654	0.04999777104
655	0.04999311781
656	0.04989799908
657	0.04982237404
658	0.04975260035
659	0.04960692094
660	0.04952876496
661	0.0494991153
662	0.04934336466
663	0.04925545528
664	0.0491601126
665	0.04915565074
666	0.04912882913
667	0.04912464352
668	0.04886104056
669	0.04872729765
670	0.04866312736
671	0.04860201872
672	0.04851830012
673	0.04844885749
674	0.04832776469
675	0.04827120614
676	0.04819943498
677	0.04819805132
678	0.04807518771
679	0.04801062781
680	0.04785783152
681	0.0477560119
682	0.04771701243
683	0.04756424727
684	0.0474403456
685	0.04737812795
686	0.04730700693
687	0.04712739604
688	0.04706390197
689	0.04706390007
690	0.04698361102
691	0.04693772031
692	0.0469294656
693	0.04692787678
694	0.04689922528
695	0.04663297426
696	0.04650288436
697	0.04640692787
698	0.04622308242
699	0.04615946865
700	0.04615939815
701	0.04590249854
702	0.04590195464
703	0.04584762807
704	0.04576496052
705	0.04563860865
706	0.04563107128
707	0.04557980985
708	0.04546920643
709	0.04546798054
710	0.045360572
711	0.04523813351
712	0.045187633
713	0.04507061747
714	0.04504514726
715	0.04494881275
716	0.04494714945
717	0.04478213859
718	0.0446827628
719	0.04442961756
720	0.04442576106
721	0.04439144544
722	0.04428816604
723	0.04428180768
724	0.0441542379
725	0.04405919538
726	0.04405784709
727	0.04395991382
728	0.04395130345
729	0.04389233716
730	0.04375024598
731	0.04353526365
732	0.04343706115
733	0.04341185767
734	0.04336162298
735	0.0433024582
