iter	Passed	Remaining
0	211	211380
1	363	181622
2	422	140576
3	476	118742
4	535	106640
5	580	96192
6	623	88420
7	675	83729
8	730	80453
9	773	76600
10	812	73051
11	859	70785
12	901	68433
13	951	67028
14	998	65600
15	1077	66273
16	1140	65932
17	1191	64992
18	1250	64562
19	1307	64073
20	1374	64097
21	1441	64100
22	1530	65021
23	1584	64424
24	1653	64503
25	1718	64391
26	1766	63676
27	1810	62836
28	1851	61998
29	1892	61190
30	1937	60560
31	1983	59999
32	2034	59613
33	2100	59675
34	2150	59300
35	2201	58940
36	2248	58511
37	2300	58250
38	2344	57760
39	2385	57253
40	2434	56950
41	2476	56482
42	2510	55867
43	2549	55386
44	2586	54900
45	2626	54468
46	2719	55141
47	2786	55257
48	2832	54968
49	2882	54766
50	2929	54516
51	2979	54323
52	3023	54029
53	3083	54024
54	3143	54006
55	3198	53921
56	3257	53898
57	3301	53617
58	3346	53374
59	3391	53138
60	3429	52796
61	3473	52553
62	3512	52234
63	3552	51962
64	3596	51729
65	3637	51481
66	3867	53856
67	3911	53604
68	3953	53342
69	3997	53103
70	4054	53051
71	4117	53069
72	4191	53224
73	4263	53352
74	4324	53332
75	4362	53037
76	4399	52732
77	4440	52485
78	4482	52260
79	4518	51959
80	4570	51853
81	4608	51593
82	4653	51410
83	4734	51623
84	4799	51660
85	4861	51663
86	4918	51617
87	4969	51501
88	5017	51355
89	5071	51281
90	5123	51182
91	5165	50978
92	5209	50809
93	5252	50624
94	5302	50517
95	5351	50391
96	5402	50293
97	5458	50241
98	5509	50142
99	5549	49945
100	5597	49819
101	5657	49807
102	5718	49799
103	5771	49724
104	5823	49637
105	5878	49581
106	5928	49474
107	5970	49308
108	6025	49250
109	6075	49157
110	6118	49000
111	6165	48882
112	6213	48776
113	6235	48460
114	6279	48328
115	6315	48130
116	6357	47978
117	6403	47862
118	6446	47724
119	6496	47644
120	6539	47506
121	6562	47228
122	6603	47080
123	6690	47265
124	6761	47327
125	6810	47243
126	6853	47112
127	6889	46932
128	6938	46848
129	6985	46749
130	7030	46635
131	7072	46510
132	7105	46319
133	7149	46204
134	7195	46101
135	7242	46010
136	7306	46024
137	7350	45916
138	7393	45794
139	7439	45702
140	7476	45545
141	7514	45402
142	7551	45256
143	7588	45112
144	7629	44988
